Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;Lenovo;для работы и учебы;95920;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;16;DDR4;1;nan;7;nan
SberMegaMarket;Lenovo;игровой;139770;0;0;Без ОС;6;AMD;Ryzen 5;5600H;nan;NVIDIA;GeForce RTX 3060;nan;nan;512;16;DDR4;1;nan;5;nan
SberMegaMarket;GIGABYTE;"для бизнеса; для работы и учебы; игровой; универсальный";147500;0;0;Windows;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070 Ti;nan;360;512;32;DDR5;1;"металл; пластик";7;nan
SberMegaMarket;GIGABYTE;"для бизнеса; для работы и учебы; игровой; универсальный";135800;0;0;Без ОС;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070 Ti;nan;360;512;32;DDR5;1;"металл; пластик";7;nan
SberMegaMarket;GIGABYTE;"для бизнеса; для работы и учебы; игровой; универсальный";114600;0;0;Без ОС;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070 Max-Q;nan;360;512;16;DDR4;1;"алюминий; пластик";7;nan
SberMegaMarket;Acer;"игровой; для работы и учебы";114990;0;0;Windows;12;Intel;Core i7;1260P;nan;NVIDIA;GeForce RTX 3050 Ti;nan;144;512;16;DDR4;1;"металл; пластик";9;nan
SberMegaMarket;Acer;"для бизнеса; для работы и учебы; игровой";91990;0;0;Без ОС;8;AMD;Core i7;5700U;nan;NVIDIA;GeForce RTX 3050;nan;144;512;16;DDR4;1;"металл; пластик";10;nan
SberMegaMarket;Acer;"для бизнеса; для работы и учебы; игровой";99990;0;0;Windows;8;AMD;Core i7;5700U;nan;NVIDIA;GeForce RTX 3050;nan;144;512;16;DDR4;1;"металл; пластик";10;nan
SberMegaMarket;HP;игровой;115217;0;0;DOS;6;AMD;Ryzen 5;5600H;nan;NVIDIA;GeForce RTX 3050;nan;144;512;16;DDR4;1;nan;7;nan
SberMegaMarket;GIGABYTE;"для бизнеса; универсальный";214990;0;0;Windows;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070 Max-Q;16;nan;1024;32;DDR5;0;nan;9;nan
